French,English
partie,part
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
car,because
aucun,no
laisse,leash
ville,city
bébé,baby
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
parle,speak
étaient,were
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
train,train
corps,body
endroit,place
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
suite,after
venez,come
minutes,minutes
demandé,request
mari,husband
cause,cause
eau,water
parti,left
arrêter,Stop
terre,Earth
compte,account
loin,far
fin,end
aura,will have
